,X,Y,Z,S,I_Raw,I_Pro,I_DoG,X_abs_out_px,Y_abs_out_px,Z_abs_out_px,X_ref_out_px,Y_ref_out_px,Z_ref_out_px
0,13.0,22.0,16.0,2.0,55060.0,33886.162813101706,16895.748888759776,13.0,22.0,16.0,0,0,0
1,12.0,23.0,33.0,2.0,45429.0,24255.162813101706,16292.279488188127,12.0,23.0,33.0,0,0,0
2,29.0,17.0,14.0,2.0,55809.0,34635.162813101706,16141.7286542033,29.0,17.0,14.0,0,0,0
3,21.0,18.0,35.0,2.0,44616.0,23442.162813101706,15284.959734890306,21.0,18.0,35.0,0,0,0
4,34.0,12.0,14.0,2.0,45966.0,24792.162813101706,15096.333650589395,34.0,12.0,14.0,0,0,0
5,29.0,9.0,4.0,2.0,52044.0,30870.162813101706,15074.993951931325,29.0,9.0,4.0,0,0,0
6,32.0,22.0,10.0,2.0,46498.0,25324.162813101706,14978.837469479318,32.0,22.0,10.0,0,0,0
7,24.0,16.0,35.0,2.0,43449.0,22275.162813101706,14707.64104147877,24.0,16.0,35.0,0,0,0
8,33.0,19.0,14.0,2.0,53278.0,32104.162813101706,14439.594402427178,33.0,19.0,14.0,0,0,0
9,31.0,16.0,10.0,2.0,55542.0,34368.162813101706,14432.05585540696,31.0,16.0,10.0,0,0,0
10,11.0,40.0,37.0,2.0,55944.0,34770.162813101706,13948.982758142769,11.0,40.0,37.0,0,0,0
11,11.0,18.0,26.0,2.0,54689.0,33515.162813101706,13702.657436042757,11.0,18.0,26.0,0,0,0
12,29.0,2.0,5.0,2.0,49769.0,28595.162813101706,13590.557994831093,29.0,2.0,5.0,0,0,0
13,13.0,34.0,36.0,2.0,55625.0,34451.162813101706,12823.710458968308,13.0,34.0,36.0,0,0,0
14,8.0,26.0,31.0,2.0,41144.0,19970.162813101706,12758.618516618693,8.0,26.0,31.0,0,0,0
15,11.0,20.0,20.0,2.0,61399.0,40225.162813101706,12576.863861352105,11.0,20.0,20.0,0,0,0
16,8.0,32.0,39.0,2.0,57212.0,36038.162813101706,12489.363672847127,8.0,32.0,39.0,0,0,0
17,56.0,11.0,28.0,2.0,38516.0,17342.162813101706,12262.135058185759,56.0,11.0,28.0,0,0,0
18,37.0,27.0,6.0,2.0,47690.0,26516.162813101706,11919.070842043731,37.0,27.0,6.0,0,0,0
19,23.0,31.0,29.0,2.0,50908.0,29734.162813101706,11800.793872395981,23.0,31.0,29.0,0,0,0
20,51.0,17.0,3.0,2.0,46379.0,25205.162813101706,11737.385665038519,51.0,17.0,3.0,0,0,0
21,20.0,57.0,59.0,2.0,46756.0,25582.162813101706,11597.196347363495,20.0,57.0,59.0,0,0,0
22,18.0,16.0,14.0,2.0,48042.0,26868.162813101706,11431.030262898214,18.0,16.0,14.0,0,0,0
