X,Y,Z,S,I_Raw,I_Pro,I_DoG,N,Gain,X_in_px,Y_in_px,Z_in_px,X_um,Y_um,Z_um,X_abs_out_px,Y_abs_out_px,Z_abs_out_px,X_abs_in_px,Y_abs_in_px,Z_abs_in_px,X_abs_um,Y_abs_um,Z_abs_um,S_um,X_ref_in_px,Y_ref_in_px,Z_ref_in_px,X_ref_out_px,Y_ref_out_px,Z_ref_out_px,ID
13.0,22.0,16.0,2.0,55060.0,33886.162813101706,16895.748888759776,1.0,-0.3345760991451435,58,98,16,26.0,44.0,32.0,13.0,22.0,16.0,58,98,16,26.0,44.0,32.0,4.0,0,0,0,0,0,0,1
12.0,23.0,33.0,2.0,45429.0,24255.162813101706,16292.279488188127,3.0,-0.19638435553456046,53,102,33,24.0,46.0,66.0,12.0,23.0,33.0,53,102,33,24.0,46.0,66.0,4.0,0,0,0,0,0,0,2
21.0,18.0,35.0,2.0,44616.0,23442.162813101706,15284.959734890306,1.0,-0.21063282117339618,93,80,35,42.0,36.0,70.0,21.0,18.0,35.0,93,80,35,42.0,36.0,70.0,4.0,0,0,0,0,0,0,3
34.0,12.0,14.0,2.0,45966.0,24792.162813101706,15096.333650589395,1.0,-0.24307331742468746,151,53,14,68.0,24.0,28.0,34.0,12.0,14.0,151,53,14,68.0,24.0,28.0,4.0,0,0,0,0,0,0,4
29.0,9.0,4.0,2.0,52044.0,30870.162813101706,15074.993951931325,1.0,-0.3437831095440169,129,40,4,58.0,18.0,8.0,29.0,9.0,4.0,129,40,4,58.0,18.0,8.0,4.0,0,0,0,0,0,0,5
32.0,22.0,10.0,2.0,46498.0,25324.162813101706,14978.837469479318,1.0,-0.25668871476284716,142,98,10,64.0,44.0,20.0,32.0,22.0,10.0,142,98,10,64.0,44.0,20.0,4.0,0,0,0,0,0,0,6
24.0,16.0,35.0,2.0,43449.0,22275.162813101706,14707.64104147877,5.0,-0.20462271604335558,107,71,35,48.0,32.0,70.0,24.0,16.0,35.0,107,71,35,48.0,32.0,70.0,4.0,0,0,0,0,0,0,7
11.0,40.0,37.0,2.0,55944.0,34770.162813101706,13948.982758142769,1.0,-0.4273716176838749,49,178,37,22.0,80.0,74.0,11.0,40.0,37.0,49,178,37,22.0,80.0,74.0,4.0,0,0,0,0,0,0,8
8.0,26.0,31.0,2.0,41144.0,19970.162813101706,12758.618516618693,1.0,-0.22034258543975616,36,116,31,16.0,52.0,62.0,8.0,26.0,31.0,36,116,31,16.0,52.0,62.0,4.0,0,0,0,0,0,0,9
56.0,11.0,28.0,2.0,38516.0,17342.162813101706,12262.135058185759,7.0,-0.1715976435922485,249,49,28,112.0,22.0,56.0,56.0,11.0,28.0,249,49,28,112.0,22.0,56.0,4.0,0,0,0,0,0,0,10
18.0,16.0,14.0,2.0,48042.0,26868.162813101706,11431.030262898214,1.0,-0.4030667831452858,80,71,14,36.0,32.0,28.0,18.0,16.0,14.0,80,71,14,36.0,32.0,28.0,4.0,0,0,0,0,0,0,11
20.0,2.0,23.0,2.0,41551.0,20377.162813101706,11047.604478360172,1.0,-0.2968855186169152,89,9,23,40.0,4.0,46.0,20.0,2.0,23.0,89,9,23,40.0,4.0,46.0,4.0,0,0,0,0,0,0,12
13.0,31.0,44.0,2.0,41013.0,19839.162813101706,10643.46681355987,1.0,-0.3016700367444296,58,138,44,26.0,62.0,88.0,13.0,31.0,44.0,58,138,44,26.0,62.0,88.0,4.0,0,0,0,0,0,0,13
32.0,11.0,31.0,2.0,35813.0,14639.162813101706,10503.894507237706,1.0,-0.16446958908687628,142,49,31,64.0,22.0,62.0,32.0,11.0,31.0,142,49,31,64.0,22.0,62.0,4.0,0,0,0,0,0,0,14
15.0,2.0,21.0,2.0,46384.0,25210.162813101706,10417.562661428961,1.0,-0.41519911682960475,67,9,21,30.0,4.0,42.0,15.0,2.0,21.0,67,9,21,30.0,4.0,42.0,4.0,0,0,0,0,0,0,15
4.0,47.0,17.0,2.0,38443.0,17269.162813101706,10069.282167596159,1.0,-0.2633610159827663,18,209,17,8.0,94.0,34.0,4.0,47.0,17.0,18,209,17,8.0,94.0,34.0,4.0,0,0,0,0,0,0,16
13.0,19.0,8.0,2.0,42978.0,21804.162813101706,9766.726563122067,1.0,-0.38128277308035247,58,84,8,26.0,38.0,16.0,13.0,19.0,8.0,58,84,8,26.0,38.0,16.0,4.0,0,0,0,0,0,0,17
19.0,37.0,33.0,2.0,37479.0,16305.162813101706,9711.929901420295,1.0,-0.2534192803180217,84,164,33,38.0,74.0,66.0,19.0,37.0,33.0,84,164,33,38.0,74.0,66.0,4.0,0,0,0,0,0,0,18
12.0,17.0,14.0,2.0,44187.0,23013.162813101706,9606.245600712722,1.0,-0.4110104341043509,53,76,14,24.0,34.0,28.0,12.0,17.0,14.0,53,76,14,24.0,34.0,28.0,4.0,0,0,0,0,0,0,19
24.0,14.0,40.0,2.0,36093.0,14919.162813101706,8799.26018360153,1.0,-0.25802316749097604,107,62,40,48.0,28.0,80.0,24.0,14.0,40.0,107,62,40,48.0,28.0,80.0,4.0,0,0,0,0,0,0,20
64.0,11.0,24.0,2.0,32277.0,11103.162813101706,8724.698289968233,2.0,-0.1199556780617762,284,49,24,128.0,22.0,48.0,64.0,11.0,24.0,284,49,24,128.0,22.0,48.0,4.0,0,0,0,0,0,0,21
8.0,42.0,26.0,2.0,36017.0,14843.162813101706,8600.952558903848,1.0,-0.26625915097021047,36,187,26,16.0,84.0,52.0,8.0,42.0,26.0,36,187,26,16.0,84.0,52.0,4.0,0,0,0,0,0,0,22
20.0,52.0,20.0,2.0,34791.0,13617.162813101706,8580.474719561858,2.0,-0.22690198838180053,89,231,20,40.0,104.0,40.0,20.0,52.0,20.0,89,231,20,40.0,104.0,40.0,4.0,0,0,0,0,0,0,23
48.0,51.0,4.0,2.0,41532.0,20358.162813101706,8532.75143872649,1.0,-0.40931246658720444,213,227,4,96.0,102.0,8.0,48.0,51.0,4.0,213,227,4,96.0,102.0,8.0,4.0,0,0,0,0,0,0,24
26.0,12.0,14.0,2.0,41423.0,20249.162813101706,8192.582931354593,1.0,-0.4239043548899284,116,53,14,52.0,24.0,28.0,26.0,12.0,14.0,116,53,14,52.0,24.0,28.0,4.0,0,0,0,0,0,0,25
13.0,6.0,27.0,2.0,35262.0,14088.162813101706,8190.977398941072,1.0,-0.2646953768428176,58,27,27,26.0,12.0,54.0,13.0,6.0,27.0,58,27,27,26.0,12.0,54.0,4.0,0,0,0,0,0,0,26
48.0,15.0,31.0,2.0,32124.0,10950.162813101706,8111.455085921101,2.0,-0.148922706467961,213,67,31,96.0,30.0,62.0,48.0,15.0,31.0,213,67,31,96.0,30.0,62.0,4.0,0,0,0,0,0,0,27
37.0,10.0,30.0,2.0,33777.0,12603.162813101706,8049.7464258520695,1.0,-0.22047336453023123,164,44,30,74.0,20.0,60.0,37.0,10.0,30.0,164,44,30,74.0,20.0,60.0,4.0,0,0,0,0,0,0,28
19.0,50.0,36.0,2.0,33824.0,12650.162813101706,8036.966224128911,1.0,-0.2229983957982003,84,222,36,38.0,100.0,72.0,19.0,50.0,36.0,84,222,36,38.0,100.0,72.0,4.0,0,0,0,0,0,0,29
10.0,9.0,9.0,2.0,36580.0,15406.162813101706,7919.5079467964915,1.0,-0.3209620397787819,44,40,9,20.0,18.0,18.0,10.0,9.0,9.0,44,40,9,20.0,18.0,18.0,4.0,0,0,0,0,0,0,30
19.0,65.0,56.0,2.0,33621.0,12447.162813101706,7393.021889693779,1.0,-0.2547426346638697,84,289,56,38.0,130.0,112.0,19.0,65.0,56.0,84,289,56,38.0,130.0,112.0,4.0,0,0,0,0,0,0,31
16.0,53.0,59.0,2.0,42126.0,20952.162813101706,7229.939515631274,1.0,-0.4869126915162741,71,236,59,32.0,106.0,118.0,16.0,53.0,59.0,71,236,59,32.0,106.0,118.0,4.0,0,0,0,0,0,0,32
5.0,41.0,33.0,2.0,36843.0,15669.162813101706,7036.614734790897,1.0,-0.3801916961488079,22,182,33,10.0,82.0,66.0,5.0,41.0,33.0,22,182,33,10.0,82.0,66.0,4.0,0,0,0,0,0,0,33
4.0,37.0,34.0,2.0,39072.0,17898.162813101706,7032.205032378595,1.0,-0.4358522845740133,18,164,34,8.0,74.0,68.0,4.0,37.0,34.0,18,164,34,8.0,74.0,68.0,4.0,0,0,0,0,0,0,34
14.0,6.0,17.0,2.0,51845.0,30671.162813101706,6980.333582949626,1.0,-0.6292134841322438,62,27,17,28.0,12.0,34.0,14.0,6.0,17.0,62,27,17,28.0,12.0,34.0,4.0,0,0,0,0,0,0,35
14.0,14.0,11.0,2.0,44496.0,23322.162813101706,6854.24712470251,1.0,-0.5457214997523155,62,62,11,28.0,28.0,22.0,14.0,14.0,11.0,62,62,11,28.0,28.0,22.0,4.0,0,0,0,0,0,0,36
63.0,49.0,10.0,2.0,35365.0,14191.162813101706,6802.7607594613755,1.0,-0.35193050160934275,280,218,10,126.0,98.0,20.0,63.0,49.0,10.0,280,218,10,126.0,98.0,20.0,4.0,0,0,0,0,0,0,37
