X,Y,Z,S,I_Raw,I_Pro,I_DoG,N,Gain,X_in_px,Y_in_px,Z_in_px,X_um,Y_um,Z_um,X_abs_out_px,Y_abs_out_px,Z_abs_out_px,X_abs_in_px,Y_abs_in_px,Z_abs_in_px,X_abs_um,Y_abs_um,Z_abs_um,S_um,X_ref_in_px,Y_ref_in_px,Z_ref_in_px,X_ref_out_px,Y_ref_out_px,Z_ref_out_px,ID
11.0,10.0,21.0,3.0,52212.0,31038.162813101702,14704.532515548552,2.0,-0.3570762540379388,49,44,21,22.0,20.0,42.0,11.0,10.0,21.0,49,44,21,22.0,20.0,42.0,6.0,0,0,0,0,0,0,112
59.0,42.0,6.0,3.0,44248.0,23074.162813101702,14066.44816969663,2.0,-0.2425300608968709,262,187,6,118.0,84.0,12.0,59.0,42.0,6.0,262,187,6,118.0,84.0,12.0,6.0,0,0,0,0,0,0,113
6.0,27.0,18.0,3.0,37434.0,16260.162813101706,10102.698211957631,1.0,-0.2335658711431611,27,120,18,12.0,54.0,36.0,6.0,27.0,18.0,27,120,18,12.0,54.0,36.0,6.0,0,0,0,0,0,0,114
49.0,3.0,5.0,3.0,29917.0,8743.162813101706,8573.94070218067,3.0,-0.0097719639298626,218,13,5,98.0,6.0,10.0,49.0,3.0,5.0,218,13,5,98.0,6.0,10.0,6.0,0,0,0,0,0,0,115
26.0,7.0,20.0,3.0,36420.0,15246.162813101706,8316.304694763798,2.0,-0.294105789897625,116,31,20,52.0,14.0,40.0,26.0,7.0,20.0,116,31,20,52.0,14.0,40.0,6.0,0,0,0,0,0,0,116
51.0,27.0,20.0,3.0,33194.0,12020.162813101706,7681.053199505368,2.0,-0.2202457762414098,227,120,20,102.0,54.0,40.0,51.0,27.0,20.0,227,120,20,102.0,54.0,40.0,6.0,0,0,0,0,0,0,117
5.0,43.0,64.0,3.0,32096.0,10922.162813101706,7669.055374826036,2.0,-0.1749808649111592,22,191,64,10.0,86.0,128.0,5.0,43.0,64.0,22,191,64,10.0,86.0,128.0,6.0,0,0,0,0,0,0,118
7.0,47.0,59.0,3.0,33040.0,11866.162813101706,7450.724759701154,2.0,-0.2285791661187308,31,209,59,14.0,94.0,118.0,7.0,47.0,59.0,31,209,59,14.0,94.0,118.0,6.0,0,0,0,0,0,0,119
9.0,54.0,58.0,3.0,34119.0,12945.162813101706,7331.26863517402,3.0,-0.2768679583608427,40,240,58,18.0,108.0,116.0,9.0,54.0,58.0,40,240,58,18.0,108.0,116.0,6.0,0,0,0,0,0,0,120
20.0,46.0,28.0,3.0,31989.0,10815.162813101706,6767.910500539377,2.0,-0.2301788908212332,89,204,28,40.0,92.0,56.0,20.0,46.0,28.0,89,204,28,40.0,92.0,56.0,6.0,0,0,0,0,0,0,121
59.0,56.0,7.0,3.0,30622.0,9448.162813101706,4367.021690044822,2.0,-0.3677939387562728,262,249,7,118.0,112.0,14.0,59.0,56.0,7.0,262,249,7,118.0,112.0,14.0,6.0,0,0,0,0,0,0,122
31.0,17.0,13.0,4.0,57354.0,36180.162813101706,32452.825025776798,8.0,-0.054308254742969,138,76,13,62.0,34.0,26.0,31.0,17.0,13.0,138,76,13,62.0,34.0,26.0,8.0,0,0,0,0,0,0,123
30.0,4.0,6.0,4.0,53502.0,32328.162813101702,27179.004388565427,3.0,-0.086530054557731,133,18,6,60.0,8.0,12.0,30.0,4.0,6.0,133,18,6,60.0,8.0,12.0,8.0,0,0,0,0,0,0,124
4.0,43.0,22.0,4.0,42323.0,21149.162813101702,20192.83315640922,4.0,-0.0231321597872963,18,191,22,8.0,86.0,44.0,4.0,43.0,22.0,18,191,22,8.0,86.0,44.0,8.0,0,0,0,0,0,0,125
51.0,49.0,8.0,4.0,44524.0,23350.162813101702,19482.38847094059,7.0,-0.0902998823607804,227,218,8,102.0,98.0,16.0,51.0,49.0,8.0,227,218,8,102.0,98.0,16.0,8.0,0,0,0,0,0,0,126
21.0,13.0,17.0,4.0,54900.0,33726.162813101706,19344.766103364323,3.0,-0.2709844542644767,93,58,17,42.0,26.0,34.0,21.0,13.0,17.0,93,58,17,42.0,26.0,34.0,8.0,0,0,0,0,0,0,127
17.0,48.0,58.0,4.0,45752.0,24578.162813101702,18339.18809515163,7.0,-0.1453718504501235,76,213,58,34.0,96.0,116.0,17.0,48.0,58.0,76,213,58,34.0,96.0,116.0,8.0,0,0,0,0,0,0,128
20.0,17.0,46.0,4.0,39445.0,18271.162813101702,15244.35752000421,4.0,-0.0903105565127593,89,76,46,40.0,34.0,92.0,20.0,17.0,46.0,89,76,46,40.0,34.0,92.0,8.0,0,0,0,0,0,0,129
7.0,39.0,48.0,4.0,39554.0,18380.162813101702,14533.154083565962,3.0,-0.1168830458994315,31,173,48,14.0,78.0,96.0,7.0,39.0,48.0,31,173,48,14.0,78.0,96.0,8.0,0,0,0,0,0,0,130
18.0,6.0,8.0,4.0,43948.0,22774.162813101702,13795.730505200276,3.0,-0.2455143150064381,80,27,8,36.0,12.0,16.0,18.0,6.0,8.0,80,27,8,36.0,12.0,16.0,8.0,0,0,0,0,0,0,131
31.0,59.0,33.0,4.0,40346.0,19172.162813101702,13520.678202322868,3.0,-0.1728661209991646,138,262,33,62.0,118.0,66.0,31.0,59.0,33.0,138,262,33,62.0,118.0,66.0,8.0,0,0,0,0,0,0,132
41.0,47.0,9.0,4.0,35390.0,14216.162813101706,13340.425453194264,6.0,-0.0317796002699848,182,209,9,82.0,94.0,18.0,41.0,47.0,9.0,182,209,9,82.0,94.0,18.0,8.0,0,0,0,0,0,0,133
60.0,42.0,22.0,4.0,34695.0,13521.162813101706,13124.67410678712,6.0,-0.0148799494460105,267,187,22,120.0,84.0,44.0,60.0,42.0,22.0,267,187,22,120.0,84.0,44.0,8.0,0,0,0,0,0,0,134
20.0,30.0,37.0,4.0,39195.0,18021.162813101702,12948.8110070655,5.0,-0.1637828896947004,89,133,37,40.0,60.0,74.0,20.0,30.0,37.0,89,133,37,40.0,60.0,74.0,8.0,0,0,0,0,0,0,135
41.0,23.0,18.0,4.0,39604.0,18430.162813101702,12333.590627074327,5.0,-0.1981738736101537,182,102,18,82.0,46.0,36.0,41.0,23.0,18.0,182,102,18,82.0,46.0,36.0,8.0,0,0,0,0,0,0,136
20.0,46.0,14.0,4.0,36142.0,14968.162813101706,12135.663556194164,4.0,-0.1045055121854046,89,204,14,40.0,92.0,28.0,20.0,46.0,14.0,89,204,14,40.0,92.0,28.0,8.0,0,0,0,0,0,0,137
10.0,13.0,34.0,4.0,34500.0,13326.162813101706,11005.766981218498,6.0,-0.0953642333961056,44,58,34,20.0,26.0,68.0,10.0,13.0,34.0,44,58,34,20.0,26.0,68.0,8.0,0,0,0,0,0,0,138
42.0,18.0,53.0,4.0,32298.0,11124.162813101706,10607.267358650362,8.0,-0.0237856160577612,187,80,53,84.0,36.0,106.0,42.0,18.0,53.0,187,80,53,84.0,36.0,106.0,8.0,0,0,0,0,0,0,139
14.0,49.0,46.0,4.0,33681.0,12507.162813101706,10205.380193249715,6.0,-0.1013441171782618,62,218,46,28.0,98.0,92.0,14.0,49.0,46.0,62,218,46,28.0,98.0,92.0,8.0,0,0,0,0,0,0,140
34.0,52.0,32.0,4.0,33672.0,12498.162813101706,9385.63575192752,3.0,-0.1422297437040053,151,231,32,68.0,104.0,64.0,34.0,52.0,32.0,151,231,32,68.0,104.0,64.0,8.0,0,0,0,0,0,0,141
14.0,63.0,47.0,4.0,30885.0,9711.162813101706,9012.51732194895,3.0,-0.0373134707554042,62,280,47,28.0,126.0,94.0,14.0,63.0,47.0,62,280,47,28.0,126.0,94.0,8.0,0,0,0,0,0,0,142
25.0,10.0,52.0,4.0,30359.0,9185.162813101706,8955.215769054106,3.0,-0.0126759782330999,111,44,52,50.0,20.0,104.0,25.0,10.0,52.0,111,44,52,50.0,20.0,104.0,8.0,0,0,0,0,0,0,143
11.0,34.0,38.0,5.0,59829.0,38655.162813101706,34049.52559798171,8.0,-0.0633471831841025,49,151,38,22.0,68.0,76.0,11.0,34.0,38.0,49,151,38,22.0,68.0,76.0,10.0,0,0,0,0,0,0,144
13.0,19.0,22.0,5.0,60521.0,39347.162813101706,32566.28329609041,9.0,-0.0942922343996048,58,84,22,26.0,38.0,44.0,13.0,19.0,22.0,58,84,22,26.0,38.0,44.0,10.0,0,0,0,0,0,0,145
26.0,33.0,29.0,5.0,49646.0,28472.162813101702,28335.18563021293,11.0,-0.0024112581671622,116,147,29,52.0,66.0,58.0,26.0,33.0,29.0,116,147,29,52.0,66.0,58.0,10.0,0,0,0,0,0,0,146
53.0,20.0,5.0,5.0,49385.0,28211.162813101702,27134.75387923376,5.0,-0.0194487506612571,236,89,5,106.0,40.0,10.0,53.0,20.0,5.0,236,89,5,106.0,40.0,10.0,10.0,0,0,0,0,0,0,147
22.0,55.0,58.0,5.0,46850.0,25676.162813101702,22721.85736472302,5.0,-0.0610418657111165,98,244,58,44.0,110.0,116.0,22.0,55.0,58.0,98,244,58,44.0,110.0,116.0,10.0,0,0,0,0,0,0,148
59.0,8.0,6.0,5.0,41734.0,20560.162813101702,21630.79636311542,8.0,0.0253758997405592,262,36,6,118.0,16.0,12.0,59.0,8.0,6.0,262,36,6,118.0,16.0,12.0,10.0,0,0,0,0,0,0,149
40.0,23.0,9.0,5.0,46255.0,25081.162813101702,20525.751070476508,7.0,-0.0998842358475274,178,102,9,80.0,46.0,18.0,40.0,23.0,9.0,178,102,9,80.0,46.0,18.0,10.0,0,0,0,0,0,0,150
13.0,13.0,48.0,5.0,41591.0,20417.162813101702,18781.14822894473,8.0,-0.0417368641827983,58,58,48,26.0,26.0,96.0,13.0,13.0,48.0,58,58,48,26.0,26.0,96.0,10.0,0,0,0,0,0,0,151
20.0,55.0,29.0,5.0,39287.0,18113.162813101702,17949.08433488164,7.0,-0.0045498683858152,89,244,29,40.0,110.0,58.0,20.0,55.0,29.0,89,244,29,40.0,110.0,58.0,10.0,0,0,0,0,0,0,152
7.0,24.0,5.0,5.0,40324.0,19150.162813101702,17030.367412702406,4.0,-0.0585893956547782,31,107,5,14.0,48.0,10.0,7.0,24.0,5.0,31,107,5,14.0,48.0,10.0,10.0,0,0,0,0,0,0,153
16.0,41.0,23.0,5.0,39759.0,18585.162813101702,15546.422497471964,7.0,-0.08903015456151,71,182,23,32.0,82.0,46.0,16.0,41.0,23.0,71,182,23,32.0,82.0,46.0,10.0,0,0,0,0,0,0,154
45.0,33.0,23.0,5.0,37726.0,16552.162813101706,14369.941064292254,6.0,-0.0705715806874575,200,147,23,90.0,66.0,46.0,45.0,33.0,23.0,200,147,23,90.0,66.0,46.0,10.0,0,0,0,0,0,0,155
43.0,33.0,11.0,5.0,40002.0,18828.162813101702,14165.993152612637,5.0,-0.1413028921040967,191,147,11,86.0,66.0,22.0,43.0,33.0,11.0,191,147,11,86.0,66.0,22.0,10.0,0,0,0,0,0,0,156
53.0,27.0,55.0,3.0,44270.0,27451.411304235306,14447.160789704703,2.0,-0.310374551318217,236,120,55,106.0,54.0,110.0,53.0,95.0,55.0,236,422,55,106.0,190.0,110.0,6.0,0,302,0,0,68,0,278
51.0,20.0,51.0,3.0,44232.0,27413.411304235306,14327.382142799224,2.0,-0.3135069576011084,227,89,51,102.0,40.0,102.0,51.0,88.0,51.0,227,391,51,102.0,176.0,102.0,6.0,0,302,0,0,68,0,279
51.0,43.0,37.0,3.0,39590.0,22771.411304235306,13673.046069366072,1.0,-0.2496501770241654,227,191,37,102.0,86.0,74.0,51.0,111.0,37.0,227,493,37,102.0,222.0,74.0,6.0,0,302,0,0,68,0,280
63.0,26.0,37.0,3.0,38153.0,21334.411304235306,13538.386179956582,2.0,-0.2235560576352591,280,116,37,126.0,52.0,74.0,63.0,94.0,37.0,280,418,37,126.0,188.0,74.0,6.0,0,302,0,0,68,0,281
49.0,12.0,59.0,3.0,43753.0,26934.411304235306,10883.012618510144,2.0,-0.4244445290222684,218,53,59,98.0,24.0,118.0,49.0,80.0,59.0,218,355,59,98.0,160.0,118.0,6.0,0,302,0,0,68,0,282
42.0,18.0,41.0,3.0,32792.0,15973.411304235306,8500.51515609594,2.0,-0.3053411213052334,187,80,41,84.0,36.0,82.0,42.0,86.0,41.0,187,382,41,84.0,172.0,82.0,6.0,0,302,0,0,68,0,283
41.0,21.0,37.0,3.0,29907.0,13088.411304235306,8439.007283876053,1.0,-0.2159759193295434,182,93,37,82.0,42.0,74.0,41.0,89.0,37.0,182,395,37,82.0,178.0,74.0,6.0,0,302,0,0,68,0,284
